id,dataset,index,longitude
GOMu0.04_261,GOMu0.04/expt_90.1m000,261,-87.55999755859375
GOMu0.04_262,GOMu0.04/expt_90.1m000,262,-87.52001953125
GOMu0.04_263,GOMu0.04/expt_90.1m000,263,-87.47998046875
GOMu0.04_264,GOMu0.04/expt_90.1m000,264,-87.44000244140625
GOMu0.04_265,GOMu0.04/expt_90.1m000,265,-87.4000244140625
GOMu0.04_266,GOMu0.04/expt_90.1m000,266,-87.3599853515625
GOMu0.04_267,GOMu0.04/expt_90.1m000,267,-87.32000732421875
GOMu0.04_268,GOMu0.04/expt_90.1m000,268,-87.280029296875
GOMu0.04_269,GOMu0.04/expt_90.1m000,269,-87.239990234375
GOMu0.04_270,GOMu0.04/expt_90.1m000,270,-87.20001220703125
GOMu0.04_271,GOMu0.04/expt_90.1m000,271,-87.1600341796875
GOMu0.04_272,GOMu0.04/expt_90.1m000,272,-87.1199951171875
GOMu0.04_273,GOMu0.04/expt_90.1m000,273,-87.08001708984375
GOMu0.04_274,GOMu0.04/expt_90.1m000,274,-87.03997802734375
GOMu0.04_275,GOMu0.04/expt_90.1m000,275,-87.0
GOMu0.04_276,GOMu0.04/expt_90.1m000,276,-86.96002197265625
GOMu0.04_277,GOMu0.04/expt_90.1m000,277,-86.91998291015625
GOMu0.04_278,GOMu0.04/expt_90.1m000,278,-86.8800048828125
GOMu0.04_279,GOMu0.04/expt_90.1m000,279,-86.8399658203125
GOMu0.04_280,GOMu0.04/expt_90.1m000,280,-86.79998779296875
GOMu0.04_281,GOMu0.04/expt_90.1m000,281,-86.760009765625
GOMu0.04_282,GOMu0.04/expt_90.1m000,282,-86.719970703125
GOMu0.04_283,GOMu0.04/expt_90.1m000,283,-86.67999267578125
GOMu0.04_284,GOMu0.04/expt_90.1m000,284,-86.6400146484375
GOMu0.04_285,GOMu0.04/expt_90.1m000,285,-86.5999755859375
GOMu0.04_286,GOMu0.04/expt_90.1m000,286,-86.55999755859375
GOMu0.04_287,GOMu0.04/expt_90.1m000,287,-86.52001953125
GOMu0.04_288,GOMu0.04/expt_90.1m000,288,-86.47998046875
GOMu0.04_289,GOMu0.04/expt_90.1m000,289,-86.44000244140625
GOMu0.04_290,GOMu0.04/expt_90.1m000,290,-86.4000244140625
GOMu0.04_291,GOMu0.04/expt_90.1m000,291,-86.3599853515625
